epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9501,1.71977,3.94642,1.43077,0,0,0,0,0,23.1357,0,0,0,0
2,132.402,1.57493,4.12921,1.33395,0,0,0,0,0,23.1445,0,1.9604e-05,1.9604e-05,1.9604e-05
3,201.815,1.62348,4.17632,1.34509,0,0,0,0,0,23.1425,0,3.8416e-05,3.8416e-05,3.8416e-05
4,282.709,1.77354,4.05497,1.36703,0,0,0,0,0,23.1333,0,5.6436e-05,5.6436e-05,5.6436e-05
5,351.601,1.49226,3.94261,1.21346,0,0,0,0,0,23.115,0,7.3664e-05,7.3664e-05,7.3664e-05
6,404.608,1.44209,3.5319,1.15999,0,0,0,0,0,23.0839,0,9.01e-05,9.01e-05,9.01e-05
7,474.77,1.48645,3.80302,1.15917,0,0,0,0,0,23.0406,0,0.000105744,0.000105744,0.000105744
8,546.519,1.29116,3.41003,1.14305,0,0,0,0,0,22.9758,0,0.000120596,0.000120596,0.000120596
9,634.835,1.23005,3.19596,1.12761,0,0,0,0,0,22.8958,0,0.000134656,0.000134656,0.000134656
10,720.223,1.45397,3.36395,1.11352,0,0,0,0,0,22.8089,0,0.000147924,0.000147924,0.000147924
11,804.859,1.63465,3.37516,1.10421,0,0,0,0,0,22.7441,0,0.0001604,0.0001604,0.0001604
12,899.571,1.2257,3.0371,1.00985,0,0,0,0,0,22.6955,0,0.000172084,0.000172084,0.000172084
13,961.296,1.34354,2.56369,1.01395,0,0,0,0,0,22.669,0,0.000182976,0.000182976,0.000182976
14,1036.1,1.25308,2.1041,1.01806,0,0,0,0,0,22.6501,0,0.000193076,0.000193076,0.000193076
15,1099.39,1.09016,2.28128,1.08532,0,0,0,0,0,22.6433,0,0.000202384,0.000202384,0.000202384
16,1173.96,1.13566,2.49482,0.99481,0,0,0,0,0,22.6345,0,0.0002109,0.0002109,0.0002109
17,1219.39,1.09582,2.20808,1.0721,0,0,0,0,0,22.623,0,0.000218624,0.000218624,0.000218624
18,1296.94,1.43792,2.31386,1.10681,0,0,0,0,0,22.623,0,0.000225556,0.000225556,0.000225556
19,1365.3,1.55892,2.28349,1.10502,0,0,0,0,0,22.5622,0,0.000231696,0.000231696,0.000231696
20,1446.34,1.07641,2.74682,1.05064,0,0,0,0,0,22.5622,0,0.000237044,0.000237044,0.000237044
21,1520.95,1.07055,2.05842,0.90496,0,0,0,0,0,22.5084,0,0.0002416,0.0002416,0.0002416
22,1610.5,1.19638,2.01948,1.02017,0,0,0,0,0,22.5084,0,0.000245364,0.000245364,0.000245364
23,1651.89,1.00303,2.24212,0.98869,0,0,0,0,0,22.4246,0,0.000248336,0.000248336,0.000248336
24,1689.74,1.08248,2.04757,0.97535,0,0,0,0,0,22.4246,0,0.000250516,0.000250516,0.000250516
25,1753.05,0.96263,1.80573,0.93178,0,0,0,0,0,22.3207,0,0.000251904,0.000251904,0.000251904
26,1812.34,1.01194,1.76549,0.93991,0,0,0,0,0,22.3207,0,0.0002525,0.0002525,0.0002525
27,1881.78,1.2426,2.49701,1.0497,0,0,0,0,0,22.2081,0,0.000252304,0.000252304,0.000252304
28,1918.27,1.20178,1.64956,1.03566,0,0,0,0,0,22.2081,0,0.000251316,0.000251316,0.000251316
29,1992.18,1.29287,1.93007,1.07456,0,0,0,0,0,22.0778,0,0.000249536,0.000249536,0.000249536
30,2082.26,1.07993,1.76814,1.02036,0,0,0,0,0,22.0778,0,0.000246964,0.000246964,0.000246964
31,2151.98,1.13809,1.5871,0.89397,0,0,0,0,0,21.9419,0,0.0002436,0.0002436,0.0002436
32,2245.59,1.0434,1.82031,0.93414,0,0,0,0,0,21.9419,0,0.000239444,0.000239444,0.000239444
33,2312.56,0.88066,1.46907,0.91267,0,0,0,0,0,21.8221,0,0.000234496,0.000234496,0.000234496
34,2403.71,1.04879,1.75056,0.97173,0,0,0,0,0,21.8221,0,0.000228756,0.000228756,0.000228756
35,2480.02,0.91451,1.40942,0.94887,0,0,0,0,0,21.7263,0,0.000222224,0.000222224,0.000222224
36,2527.17,1.12118,1.63687,1.11916,0,0,0,0,0,21.7263,0,0.0002149,0.0002149,0.0002149
37,2583.37,1.04637,1.58548,0.94224,0,0,0,0,0,21.6583,0,0.000206784,0.000206784,0.000206784
38,2630.36,0.81749,1.22618,0.8959,0,0,0,0,0,21.6583,0,0.000197876,0.000197876,0.000197876
39,2681.01,0.94721,1.29157,0.92036,0,0,0,0,0,21.6063,0,0.000188176,0.000188176,0.000188176
40,2761.62,0.92493,1.43105,0.90436,0,0,0,0,0,21.6063,0,0.000177684,0.000177684,0.000177684
41,2822.93,0.87087,1.55895,0.91824,0,0,0,0,0,21.5598,0,0.0001664,0.0001664,0.0001664
42,2878.19,0.9933,1.72132,1.03479,0,0,0,0,0,21.5598,0,0.000154324,0.000154324,0.000154324
43,2915.12,0.91041,1.53395,0.93165,0,0,0,0,0,21.5151,0,0.000141456,0.000141456,0.000141456
44,2957.13,1.02381,1.81721,1.07464,0,0,0,0,0,21.5151,0,0.000127796,0.000127796,0.000127796
45,3029.01,0.84693,1.62607,0.98093,0,0,0,0,0,21.4832,0,0.000113344,0.000113344,0.000113344
46,3112.71,0.86355,1.57853,0.94808,0,0,0,0,0,21.4832,0,9.81e-05,9.81e-05,9.81e-05
47,3174.16,0.84444,1.52874,0.89601,0,0,0,0,0,21.4471,0,8.2064e-05,8.2064e-05,8.2064e-05
48,3264.1,1.05007,1.82958,0.99308,0,0,0,0,0,21.4471,0,6.5236e-05,6.5236e-05,6.5236e-05
49,3329.85,0.94942,1.73908,0.89166,0,0,0,0,0,21.4212,0,4.7616e-05,4.7616e-05,4.7616e-05
50,3387.62,0.85727,1.56681,0.9121,0,0,0,0,0,21.4212,0,2.9204e-05,2.9204e-05,2.9204e-05
